"Region","Year","Age Range","Illicit Drug Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","3.17"
"Connecticut","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.780535714285714"
"Connecticut","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","5.48"
"Connecticut","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.09946428571429"
"Connecticut","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","10.41"
"Connecticut","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.49392857142857"
"Connecticut","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","4.59"
"Connecticut","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","0.885446428571429"
"Connecticut","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","8.53"
"Connecticut","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","1.59883928571429"
"Connecticut","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","11.94"
"Connecticut","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","1.909375"
"Connecticut","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","26.08"
"Connecticut","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error","2.81580357142857"
"Connecticut","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use","10.52"
"Connecticut","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error","1.90517857142857"
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use","2.19"
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error","0.423839285714286"
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use","2.92"
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error","0.520357142857143"
"Connecticut","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use","8.67"
"Connecticut","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error","1.12883928571429"
